paper_id,title,year,citation_key,arxiv_id,doi,url,record_origin,substrate,adaptation,outcome,outcome_detail,substrate_score,substrate_margin,adaptation_score,adaptation_margin,outcome_score,outcome_margin,outcome_detail_score,outcome_detail_margin,confidence,source_status
trajectory-informed-memory-generation-for-self-improving-agent-systems,Trajectory-Informed Memory Generation for Self-Improving Agent Systems,2026,2026_trajectory_informed_memory_generation_for_s,2603.10600,,https://arxiv.org/abs/2603.10600,registry,Memory,Abstract,Violation,Privacy & Purpose,14.47,10.47,10.45,7.45,10.50,6.00,2.40,0.40,low,full_text
d-mem-dopamine-gated-agentic-memory-via-reward-prediction-error-routing,D-MEM: Dopamine-Gated Agentic Memory via Reward Prediction Error Routing,2026,2026_d_mem_dopamine_gated_agentic_memory_via_rew,2603.14597,,http://arxiv.org/abs/2603.14597,registry,Memory,Migrate,Violation,Provenance Loss,14.85,10.25,10.52,7.00,9.35,4.95,2.40,0.40,low,full_text
governed-memory-a-production-architecture-for-multi-agent-workflows,Governed Memory: A Production Architecture for Multi-Agent Workflows,2026,taheri2026governed_memory,2603.17787,10.48550/arXiv.2603.17787,https://arxiv.org/abs/2603.17787,registry,Memory,Migrate,Violation,Privacy & Purpose,15.03,9.65,10.52,0.07,10.85,1.30,2.40,0.40,low,full_text
a-framework-for-formalizing-llm-agent-security,A Framework for Formalizing LLM Agent Security,2026,2026_a_framework_for_formalizing_llm_agent_secur,2603.19469,,http://arxiv.org/abs/2603.19469,registry,Memory,Add,Response,Transition & Activation,10.10,7.60,3.52,1.00,12.90,1.80,6.58,3.98,low,full_text
memory-poisoning-and-secure-multi-agent-systems,Memory poisoning and secure multi-agent systems,2026,2026_memory_poisoning_and_secure_multi_agent_sys,2603.20357,,http://arxiv.org/abs/2603.20357,registry,Memory,Add,Violation,Provenance Loss,15.12,10.52,10.45,0.00,14.05,9.35,6.40,0.00,low,full_text
drugsage-self-evolving-agent-experience-for-efficient-state-of-the-art-drug-disc,DrugSAGE:Self-evolving Agent Experience for Efficient State-of-the-Art Drug Discovery,2026,2026_drugsage_self_evolving_agent_experience_for,2605.15461,,http://arxiv.org/abs/2605.15461,registry,Memory,Abstract,Violation,Provenance Loss,10.94,6.34,10.52,3.40,9.00,5.30,2.00,0.00,low,full_text
hidden-in-memory-sleeper-memory-poisoning-in-llm-agents,Hidden in Memory: Sleeper Memory Poisoning in LLM Agents,2026,2026_hidden_in_memory_sleeper_memory_poisoning_i,2605.15338,,http://arxiv.org/abs/2605.15338,registry,Memory,Add,Violation,Persistent Descendants,15.03,12.53,10.59,8.00,14.40,9.55,6.52,0.06,low,full_text
memeye-a-visual-centric-evaluation-framework-for-multimodal-agent-memory,MemEye: A Visual-Centric Evaluation Framework for Multimodal Agent Memory,2026,2026_memeye_a_visual_centric_evaluation_framewor,2605.15128,,http://arxiv.org/abs/2605.15128,registry,Memory,Add,Response,Monitoring & Containment,14.85,14.25,3.00,0.55,12.05,1.55,6.76,6.76,low,full_text
forge-self-evolving-agent-memory-with-no-weight-updates-via-population-broadcast,FORGE: Self-Evolving Agent Memory With No Weight Updates via Population Broadcast,2026,2026_forge_self_evolving_agent_memory_with_no_we,2605.16233,,http://arxiv.org/abs/2605.16233,registry,Memory,Propagate,Violation,Model Safety Regression,14.25,10.25,10.00,2.80,9.00,4.50,4.00,2.00,medium,full_text
library-drift-diagnosing-and-fixing-a-silent-failure-mode-in-self-evolving-llm-s,Library Drift: Diagnosing and Fixing a Silent Failure Mode in Self-Evolving LLM Skill Libraries,2026,2026_library_drift_diagnosing_and_fixing_a_silen,2605.19576,,http://arxiv.org/abs/2605.19576,registry,Memory,Modify,Violation,Provenance Loss,10.47,3.38,7.05,3.60,18.40,16.20,2.46,0.46,low,full_text
memconflict-evaluating-long-term-memory-systems-under-memory-conflicts,MemConflict: Evaluating Long-Term Memory Systems Under Memory Conflicts,2026,2026_memconflict_evaluating_long_term_memory_sys,2605.20926,,http://arxiv.org/abs/2605.20926,registry,Memory,Add,Violation,Provenance Loss,14.62,14.62,3.00,0.70,9.00,2.00,2.00,0.00,low,full_text
